participant_id,mlu_words,mlu_morphemes,ttr,total_tokens,ndw,n_utterances
tucson01a,6.69,7.735,0.3386,883,299,113
tucson02a,3.45,4.0,0.2369,553,131,100
tucson03a,8.434,10.163,0.2539,1276,324,129
tucson04a,6.22,7.576,0.3103,870,270,118
tucson06a,5.157,6.343,0.2053,940,193,108
tucson06b,6.302,6.73,0.3162,895,283,126
tucson07a,6.949,8.115,0.2414,1334,322,156
tucson08a,3.981,4.481,0.3102,561,174,108
tucson08b,5.889,6.521,0.2806,980,275,144
tucson09a,2.347,2.389,0.3267,251,82,72
tucson10a,5.475,5.513,0.3189,555,177,80
tucson11a,7.5,8.44,0.326,730,238,84
tucson12a,7.415,8.578,0.2938,1062,312,135
tucson13a,4.426,4.954,0.2376,1477,351,237
tucson14a,2.265,2.431,0.3474,308,107,102
tucson15a,5.065,5.805,0.3254,971,316,169
tucson15b,5.259,5.593,0.325,757,246,135
tucson16a,5.323,6.462,0.2708,517,140,65
tucson17a,4.479,4.425,0.2904,489,142,73
tucson18a,9.16,10.43,0.2514,1945,489,200
tucson19a,6.351,7.167,0.3199,816,261,114
tucson20a,7.108,7.835,0.198,1566,310,194
tucson22a,3.789,3.579,0.2565,464,119,95
williamson01a,6.316,6.368,0.2737,917,251,133
williamson02a,8.25,7.386,0.2574,983,253,88
williamson03a,8.918,9.32,0.215,1107,238,97
williamson04a,6.947,6.214,0.1649,1383,228,131
williamson05a,6.883,7.86,0.2784,1663,463,222
williamson06a,7.543,8.714,0.3013,1208,364,140
williamson07a,8.123,7.903,0.2102,2736,575,308
williamson08a,8.235,6.973,0.2099,1448,304,149
williamson09a,6.883,6.848,0.2022,1721,348,230
williamson09b,6.394,7.406,0.2496,1274,318,180
williamson10a,8.071,9.062,0.3133,1047,328,112
williamson11a,6.605,4.548,0.2358,1281,302,177
williamson12a,5.954,3.161,0.1949,631,123,87
williamson12b,4.321,3.422,0.2389,565,135,109
williamson13a,11.605,12.39,0.2407,2829,681,228
williamson14a,6.968,5.392,0.2169,1065,231,125
